face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
fbhm_faces/21780_face0.png,White,White,Male,40-49,"[9.1966307e-01 3.4646504e-03 2.1864206e-02 6.7532021e-03 7.0324359e-03
 8.9045597e-04 4.0331952e-02]",[9.9849528e-01 3.5829825e-04 1.0700453e-03 7.6304001e-05],[9.990182e-01 9.818089e-04],"[8.49986009e-07 8.48442426e-07 8.21291105e-05 3.51144411e-02
 3.15125763e-01 5.34756303e-01 1.10090435e-01 4.60765092e-03
 2.21532056e-04]"
fbhm_faces/10492_face0.png,White,White,Male,50-59,"[6.7486244e-01 1.8214819e-04 2.1774557e-01 1.9596871e-03 7.4301567e-04
 3.5445806e-02 6.9061346e-02]",[0.9391647  0.00176242 0.01469771 0.04437521],[9.9999577e-01 4.2326342e-06],"[8.5438724e-06 5.8787909e-06 2.0952261e-04 3.7720159e-03 6.3108221e-02
 3.9080659e-01 5.2250582e-01 1.9421168e-02 1.6229400e-04]"
fbhm_faces/43920_face0.png,White,White,Male,20-29,"[9.8416853e-01 1.6244912e-05 1.1448072e-02 8.3391724e-06 2.2342603e-05
 1.5256604e-03 2.8108489e-03]",[9.9793065e-01 1.8968321e-05 1.5775015e-05 2.0346190e-03],[0.95956075 0.04043925],"[2.62075179e-08 7.88180478e-06 2.05579177e-02 7.19978392e-01
 2.47204497e-01 1.21412640e-02 1.08279586e-04 1.68375436e-06
 8.12850729e-08]"
fbhm_faces/69534_face2.png,Indian,Indian,Male,40-49,"[0.12026369 0.17682752 0.28413302 0.00182437 0.01011254 0.28445494
 0.12238402]",[0.0174238  0.2936533  0.00502998 0.68389297],[9.9997717e-01 2.2877239e-05],"[2.3592199e-06 3.0126921e-06 2.6323534e-05 4.3691508e-03 2.3336384e-01
 6.8271935e-01 7.7411465e-02 2.0589463e-03 4.5572320e-05]"
fbhm_faces/26947_face0.png,Indian,Indian,Male,3-9,"[0.00301884 0.44772115 0.05385422 0.00227592 0.01158386 0.48033515
 0.0012109 ]",[0.00465082 0.20638624 0.07357491 0.715388  ],[0.51318496 0.486815  ],"[4.4880863e-03 4.6272135e-01 3.1486857e-01 1.7484324e-01 3.7338436e-02
 5.4291207e-03 2.9377957e-04 1.6055950e-05 1.3374384e-06]"
fbhm_faces/38624_face0.png,Southeast Asian,Asian,Female,10-19,"[0.00722788 0.02319702 0.14133672 0.2002154  0.3769522  0.24648808
 0.0045827 ]",[0.00159491 0.03469444 0.8284421  0.13526855],[0.4119226 0.5880774],"[2.2478086e-04 2.4676695e-01 6.5174711e-01 9.3417674e-02 7.1914368e-03
 6.0485222e-04 3.7242975e-05 9.2234795e-06 7.5319088e-07]"
fbhm_faces/60213_face2.png,White,Asian,Male,60-69,"[0.55197006 0.00878096 0.0240356  0.28676313 0.02507423 0.00138337
 0.10199256]",[0.4670111  0.00271245 0.5275947  0.00268183],[0.9910314  0.00896862],"[2.8066677e-05 1.8832008e-05 2.0328349e-04 7.0357281e-03 2.6062863e-02
 1.5969799e-01 3.2896483e-01 4.2099747e-01 5.6990955e-02]"
fbhm_faces/17530_face3.png,Middle Eastern,White,Male,30-39,"[0.25593445 0.1101843  0.0944972  0.00077876 0.00079786 0.05862424
 0.4791832 ]",[0.743278   0.11690398 0.03878669 0.10103132],[0.99673676 0.00326321],"[1.2812120e-06 3.1862051e-05 1.0033684e-03 1.8710563e-01 6.5152460e-01
 1.4376730e-01 1.5873585e-02 6.4960832e-04 4.2707212e-05]"
fbhm_faces/59043_face3.png,Latino_Hispanic,Black,Male,60-69,"[0.04200422 0.19681852 0.46432787 0.00080789 0.00550165 0.05406708
 0.2364728 ]",[0.01501473 0.9390472  0.01013654 0.03580135],[9.999084e-01 9.159660e-05],"[4.1363642e-04 8.1672886e-04 1.7249044e-03 3.2055593e-04 1.3834210e-03
 3.5563082e-02 3.0121765e-01 6.1369127e-01 4.4868696e-02]"
fbhm_faces/93401_face0.png,Black,Black,Female,3-9,"[0.07464319 0.55188996 0.33230054 0.00644854 0.00921987 0.00906409
 0.01643374]",[0.02080029 0.96770364 0.00898466 0.00251142],[0.17502505 0.82497495],"[3.1447038e-04 4.7623995e-01 4.7440949e-01 4.6966396e-02 1.9785443e-03
 8.8983885e-05 1.8395397e-06 2.7746302e-07 5.1157144e-08]"
fbhm_faces/72418_face1.png,White,White,Male,3-9,"[9.63180423e-01 2.25733565e-05 1.71246771e-02 1.41788105e-05
 7.86787496e-06 4.75693203e-04 1.91746466e-02]",[9.9308705e-01 7.0854061e-04 2.5587087e-04 5.9484667e-03],[0.8289052  0.17109473],"[1.0797727e-03 9.8867452e-01 1.0233664e-02 8.5402871e-06 2.4952478e-06
 8.7451042e-07 8.8641862e-08 1.3647726e-08 3.8564183e-09]"
fbhm_faces/05129_face0.png,Latino_Hispanic,Indian,Male,20-29,"[0.16804221 0.00579148 0.42960337 0.00044219 0.0011948  0.09364914
 0.30127683]",[0.05362031 0.01614662 0.00144281 0.9287902 ],[9.9997896e-01 2.1040016e-05],"[2.8552785e-08 1.5366900e-06 9.4923787e-03 8.2329816e-01 1.6448931e-01
 2.6876703e-03 3.0040525e-05 8.8942090e-07 2.1481158e-08]"
fbhm_faces/10489_face1.png,Black,Black,Female,3-9,"[8.4085505e-06 9.9967110e-01 8.4969812e-05 9.2525624e-06 4.8249673e-05
 1.7613563e-04 1.8930732e-06]",[8.9341838e-06 9.9990594e-01 3.7789039e-05 4.7418951e-05],[0.0035634 0.9964366],"[9.8792871e-04 6.2783593e-01 3.4004572e-01 2.5836222e-02 4.8076790e-03
 4.3275714e-04 4.8896334e-05 3.9329102e-06 8.8075029e-07]"
fbhm_faces/27568_face0.png,Black,Black,Male,20-29,"[1.0482452e-05 9.8479462e-01 2.4575202e-04 4.0857872e-06 1.7933424e-04
 1.4744867e-02 2.0930000e-05]",[1.2072095e-05 9.9192590e-01 1.1539605e-04 7.9466337e-03],[9.9954760e-01 4.5237222e-04],"[3.0410311e-07 1.3098329e-04 7.5170636e-02 7.9394233e-01 1.2512253e-01
 5.5425703e-03 8.8135625e-05 2.3146720e-06 1.2231821e-07]"
fbhm_faces/34068_face0.png,White,White,Female,30-39,"[8.3173770e-01 1.1613531e-05 1.1623608e-02 1.4407874e-05 1.4123149e-05
 1.5372106e-04 1.5644480e-01]",[9.9950832e-01 4.0779676e-05 2.7717286e-05 4.2317130e-04],[4.5415924e-05 9.9995458e-01],"[2.2713666e-08 4.9064772e-07 3.0075776e-04 1.0732407e-01 4.3874583e-01
 3.4888056e-01 9.9318527e-02 5.3488286e-03 8.0923193e-05]"
fbhm_faces/27043_face6.png,Black,Black,Female,20-29,"[2.1984758e-04 9.8660874e-01 9.0726847e-03 2.1495251e-04 8.3243335e-04
 2.9098024e-03 1.4160918e-04]",[2.9313662e-06 9.9952757e-01 1.5194950e-04 3.1757136e-04],[0.01822147 0.9817785 ],"[8.11191330e-06 6.62745861e-03 1.64870635e-01 7.13287234e-01
 1.12219416e-01 2.89122434e-03 8.79029976e-05 7.40209362e-06
 6.19415800e-07]"
fbhm_faces/93620_face2.png,Black,Black,Male,50-59,"[2.3614224e-05 9.2728311e-01 1.4372690e-03 9.5872907e-04 2.1627091e-02
 4.8654225e-02 1.5944290e-05]",[9.7910495e-05 9.6215338e-01 1.2885058e-02 2.4863636e-02],[0.9702873  0.02971271],"[7.6084543e-06 4.1820225e-05 9.9051755e-04 2.0030411e-02 7.9794116e-02
 2.1568842e-01 4.2066893e-01 2.2842067e-01 3.4357477e-02]"
fbhm_faces/62043_face0.png,White,White,Male,40-49,"[9.9940217e-01 1.7565529e-07 2.9759363e-05 1.3801892e-05 8.0755226e-06
 6.8572928e-07 5.4525130e-04]",[9.9997282e-01 1.8150016e-07 2.6068536e-05 9.6710721e-07],[0.95047563 0.04952434],"[1.1859053e-06 3.8905353e-05 3.1495790e-03 8.7645479e-02 3.0331627e-01
 5.1105583e-01 9.1757037e-02 2.8794818e-03 1.5622482e-04]"
fbhm_faces/28435_face0.png,White,White,Female,20-29,"[9.0298426e-01 3.4215781e-04 5.2953258e-02 1.6315445e-02 7.4420841e-03
 3.9314162e-03 1.6031424e-02]",[0.9025986  0.00465312 0.05184857 0.04089973],[0.32444403 0.675556  ],"[1.07975837e-04 1.01955876e-01 3.31727475e-01 4.44270760e-01
 1.05717339e-01 1.46120377e-02 1.51717011e-03 8.39967179e-05
 7.30194915e-06]"
fbhm_faces/37580_face0.png,White,White,Female,40-49,"[9.9982476e-01 7.4938595e-07 6.4654560e-05 3.9090082e-08 2.3302208e-07
 1.9559830e-05 8.9985173e-05]",[9.9932486e-01 1.1231087e-04 7.4418305e-05 4.8836163e-04],[1.1795541e-04 9.9988204e-01],"[1.3126397e-07 6.5584977e-06 5.1458855e-04 5.3752303e-02 2.9459491e-01
 5.1671249e-01 1.3117430e-01 3.0892612e-03 1.5539952e-04]"
fbhm_faces/06197_face0.png,White,White,Male,40-49,"[8.8145620e-01 2.2435610e-03 5.6179177e-02 9.2241616e-04 9.4945985e-04
 6.0504366e-04 5.7644092e-02]",[0.97086763 0.00647912 0.02015695 0.00249639],[0.9989023  0.00109769],"[5.7895845e-06 2.8492073e-05 3.4204795e-04 1.5183406e-02 3.4933183e-01
 5.8928698e-01 4.4828095e-02 9.6680055e-04 2.6537951e-05]"
fbhm_faces/20751_face0.png,White,White,Female,20-29,"[0.55251276 0.00068569 0.30746037 0.00116003 0.00061108 0.0067097
 0.13086031]",[0.97155476 0.00843538 0.00333852 0.01667134],[0.0016662 0.9983338],"[2.6530449e-08 1.4828106e-04 1.3295700e-01 8.0582619e-01 6.0646221e-02
 4.2068027e-04 1.5606616e-06 3.8937738e-08 9.1792146e-10]"
fbhm_faces/90638_face0.png,Black,Black,Female,20-29,"[2.1421432e-05 9.8242372e-01 1.4858391e-03 1.2442601e-04 1.4794739e-03
 1.4448516e-02 1.6564434e-05]",[3.0454605e-05 9.9893683e-01 3.4278471e-04 6.8988517e-04],[0.00338717 0.99661285],"[7.2710196e-07 5.8735295e-05 9.0382323e-03 4.1921490e-01 3.9067757e-01
 1.6317970e-01 1.6948691e-02 8.4796303e-04 3.3494332e-05]"
fbhm_faces/89014_face0.png,White,White,Male,30-39,"[5.7015848e-01 2.5035301e-01 1.0541635e-01 1.6435291e-04 6.7450450e-04
 1.7017780e-02 5.6215450e-02]",[7.9604602e-01 1.7557102e-01 2.9830579e-04 2.8084541e-02],[0.748336 0.251664],"[1.35455848e-05 5.84364810e-04 1.53199993e-02 3.36365253e-01
 5.39418936e-01 1.01411276e-01 6.54152455e-03 3.12736345e-04
 3.23640161e-05]"
fbhm_faces/64780_face0.png,Black,Black,Male,40-49,"[6.2586163e-04 9.4921333e-01 2.8734576e-02 4.7467294e-04 4.7677546e-03
 1.6030384e-02 1.5347401e-04]",[7.5846605e-05 9.9842036e-01 3.5516496e-04 1.1486348e-03],[9.9977392e-01 2.2609034e-04],"[2.8110026e-06 4.1324033e-06 2.2722737e-04 3.3189247e-03 4.7247116e-02
 5.0143850e-01 4.2337856e-01 2.3619847e-02 7.6290459e-04]"
fbhm_faces/31924_face1.png,Black,Indian,Female,20-29,"[1.2810265e-03 7.2263426e-01 5.6118783e-02 4.7106593e-04 1.4427525e-02
 2.0480062e-01 2.6681455e-04]",[0.00143107 0.17868292 0.00415276 0.81573325],[0.11391442 0.8860855 ],"[3.0565751e-03 2.3998259e-01 3.1955925e-01 3.8717496e-01 4.8254717e-02
 1.9074555e-03 5.9234291e-05 4.7326557e-06 4.8931400e-07]"
fbhm_faces/70435_face0.png,White,White,Female,30-39,"[9.9149382e-01 1.0584523e-05 2.8192117e-03 2.0666813e-04 1.1237337e-04
 1.7494029e-04 5.1824464e-03]",[9.9675155e-01 1.5584723e-04 1.7146559e-03 1.3779578e-03],[7.867639e-04 9.992133e-01],"[5.3893746e-07 7.9202771e-05 1.5339654e-02 4.4449791e-01 4.6842849e-01
 6.9336839e-02 2.2553648e-03 5.9943563e-05 2.0743628e-06]"
