face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
m7k_faces/tech_327be2_6370361_face0.jpg,Middle Eastern,Indian,Male,20-29,"[0.1136434  0.00419215 0.19789337 0.00335697 0.02758498 0.20451224
 0.44881687]",[0.07376572 0.01350261 0.08751594 0.82521576],[9.994840e-01 5.159977e-04],"[1.0499708e-06 4.0641171e-05 1.0845352e-02 4.7998023e-01 4.6917081e-01
 3.9207648e-02 7.0658687e-04 4.5394641e-05 2.2866338e-06]"
m7k_faces/image_4242_face0.jpg,White,White,Male,40-49,"[9.3658686e-01 1.4184276e-04 2.9844020e-02 7.2726374e-03 3.2499128e-03
 5.0739036e-04 2.2397390e-02]",[9.9425411e-01 6.7192357e-04 3.8848838e-03 1.1889928e-03],[9.9999505e-01 4.9093728e-06],"[7.35806361e-06 4.96128678e-06 1.15842464e-04 5.60092460e-03
 9.06952098e-02 4.42333579e-01 4.31674242e-01 2.92238537e-02
 3.43985739e-04]"
m7k_faces/image_703_face3.jpg,White,White,Male,30-39,"[0.7108779  0.00810652 0.04012651 0.00131457 0.00333612 0.14602767
 0.09021074]",[0.9700245  0.00157032 0.01142559 0.01697957],[0.76935333 0.23064663],"[0.00070947 0.00660834 0.03754973 0.25490856 0.48150495 0.1827102
 0.0316416  0.00352715 0.00084   ]"
m7k_faces/image_4474_face0.jpg,White,White,Female,10-19,"[0.43669337 0.00654371 0.21908042 0.07372896 0.05405965 0.01445992
 0.19543387]",[0.95083916 0.00935603 0.01385082 0.02595413],[0.00209073 0.99790925],"[6.5895911e-05 8.4209211e-02 6.4994305e-01 2.5461292e-01 1.0764543e-02
 3.9706775e-04 6.5394638e-06 6.9497861e-07 1.3780729e-07]"
m7k_faces/image_1941_face1.jpeg,White,White,Female,30-39,"[8.9133233e-01 7.4437194e-05 9.5689958e-03 2.7604410e-04 7.2663819e-04
 1.2002988e-03 9.6821316e-02]",[9.9942267e-01 5.3085230e-05 1.0962935e-04 4.1463043e-04],[0.07448535 0.92551464],"[7.3031924e-06 3.9489142e-04 3.3092614e-02 3.8633284e-01 4.5663771e-01
 1.1189298e-01 1.0726545e-02 8.3773106e-04 7.7319710e-05]"
m7k_faces/image_1791_face0.jpg,White,White,Male,20-29,"[9.8730087e-01 2.4900222e-04 7.5788223e-03 1.1107791e-04 1.6602618e-04
 1.3161172e-03 3.2781838e-03]",[9.9900818e-01 1.6346616e-05 7.8350553e-05 8.9717156e-04],[0.99757534 0.00242469],"[2.5435057e-07 8.3809027e-06 4.7482578e-03 6.7806101e-01 2.9846010e-01
 1.8218799e-02 4.8480672e-04 1.7253918e-05 1.1885612e-06]"
m7k_faces/image_57_face4.jpg,White,White,Female,20-29,"[8.14885616e-01 5.15978551e-03 1.28571810e-02 1.10556185e-02
 4.56659263e-03 4.41043230e-04 1.51034072e-01]",[0.98188716 0.00865139 0.00567278 0.00378866],[0.04669708 0.95330286],"[2.97213322e-04 7.46463984e-03 2.14716773e-02 4.69860405e-01
 3.76002431e-01 1.11082844e-01 1.15502244e-02 1.77690969e-03
 4.93719708e-04]"
m7k_faces/joker_1i9vqq_face0.jpg,White,White,Male,60-69,"[0.30049053 0.2481689  0.20253704 0.0050836  0.03348816 0.03351876
 0.1767129 ]",[0.95927703 0.01701096 0.01204216 0.01166976],[0.9620942 0.0379058],"[4.3961296e-05 1.4889528e-03 1.1151032e-02 7.2437227e-02 1.7788520e-01
 1.7832878e-01 1.8401982e-01 2.0987396e-01 1.6477107e-01]"
m7k_faces/image_114_face1.jpeg,White,White,Male,20-29,"[0.7571428  0.02042904 0.07487061 0.02243763 0.03941849 0.00510703
 0.08059444]",[9.8936611e-01 7.9348348e-03 2.4073715e-03 2.9165272e-04],[9.992745e-01 7.255466e-04],"[3.0073172e-05 5.1607814e-04 2.4257924e-02 4.1441527e-01 4.1026959e-01
 1.2202283e-01 2.5606465e-02 2.5822008e-03 2.9958430e-04]"
m7k_faces/image_21_face0.jpg,White,White,Male,70+,"[5.9154212e-01 1.0871108e-01 6.3817101e-03 4.3553018e-04 1.7310788e-03
 2.4357339e-02 2.6684111e-01]",[0.5822554  0.08019683 0.00820838 0.3293394 ],[0.93581504 0.064185  ],"[1.1838487e-04 2.3978310e-04 2.3978447e-04 8.3603238e-04 4.6408488e-03
 2.6559640e-02 1.5019028e-01 3.5611090e-01 4.6106428e-01]"
